Customer Name,Street Address,Unit,City,State,ZIP,Latitude,Longitude
Mooncussers,304 Stuart St.,,Boston,MA,02116,42.3498265,-71.0706161
MV Smokehouse,23 Underway,,Edgartown,MA,02539,41.406504,-70.551694
Naco Taco,297 Massachusetts Ave,,Cambridge,MA,02238,42.3624175,-71.0980464
Nantucket Catering,3 Halyard Ln,,Nantucket,MA,02554,41.2621018,-70.1130577
Nautilus Pier 4,300 Pier 4 Blvd,,Boston,MA,02210,42.347547,-71.040645
Pier 6,1 8th St.,,Charlestown,MA,02129,42.375441,-71.05355
Reelhouse EAST BOSTON,6 New St.,,E. Boston,MA,02128,42.3712987,-71.0434295
Reelhouse Marina Bay,542 Victory Road,,Quincy,MA,02171,42.2968841,-71.0293236
Reelhouse Oyster Bar SEAPORT,10 Waterside Ave,,Boston,MA,02128,42.3708806,-71.0438754
Tallship Boston,1 East Pier Drive ,,East Boston,MA,02128,42.3649637,-71.0415335
Neptune Oyster Bar,63 Salem St.,,Boston,MA,02113,42.3632345,-71.0560223
Newburyport Fish Market,75 Water St.,,Newburyport,MA,01950,42.8109277,-70.8656476
Nicholas Dixon,403 West First St,,Boston,MA,02127,42.3386813,-71.0454641
Nine Restaurant,9 Park Street,,Place Boston,MA,02133,42.357561,-71.0627888
Niv Elka,395 Warren St,,Brookline,MA,02447,42.3233176,-71.140318
Njord Haven,408 Humphrey St.,,Swampscott,MA,01907,42.46733,-70.9126879
North 26 Bar & Restaurant ,26 North St.,,Boston,MA,02129,42.382126,-71.0666094
Northern Spy,4 Rolling Mill Way,,Canton,MA,02021,42.1560092,-71.150371
Nusr-Et,100 Arlington St,,Boston,MA,02117,42.3499377,-71.069483
Oak Bistro,1287 Cambridge St.,,Cambridge,MA,02139,42.3736486,-71.0989509
Oak Long Bar & Kitch,138 St James Ave ,,Boston,MA,02116,42.3490607,-71.076181
Oishii Too,365 Boston Post Rd,,Sudbury,MA,01705,42.3618199,-71.4168289
"Omni Boston Seaport Entertainment, LLC",450 Summer Street,,Boston,MA,02110,42.3535996,-71.0579129
Omni Parker House,60 School Street,,Boston,MA,02108,42.3578372,-71.0602361
Orchard Cove,1 Del Pond Drive,,Canton,MA,02021,42.1709579,-71.1133069
Pagu,310 Massachusetts Ave,,Cambridge,MA,02238,42.3623784,-71.0989865
Pain D'Avignon,15 Hinckley Rd,,Hyannis,MA,02601,41.6674266,-70.2892322
La Padrona Raffles Boston,40 Trinity Pl,,Boston,MA,02116,42.3484279,-71.0750133
Porto,780 Boylston St.,,Boston,MA,02116,42.3484349,-71.0805961
The Venetian Weymouth,909 Broad St,,Weymouth,MA,02189,42.2152507,-70.9235583
Banners Kitchen & Taps,82 Causeway St,,Boston,MA,02114,42.365576,-71.0615881
Momosan,80 Causeway St,,Boston,MA,02114,42.3654436,-71.0617658
Paul W. Marks Co. Inc.,8 Commercial St.,,Everett,MA,02129,42.3926112,-71.0539501
The Pearl South Bay,20b District,,Ave Dorchester,MA,02125,42.3254625,-71.0625426
The Pearl Boston Landing,67-69 Guest St,,Brighton,MA,02135,42.3571736,-71.146395
The Pearl South Bay,20b District,,Ave Dorchester,MA,02125,42.3254625,-71.0625426
Pheasant,905 Main Street,,Dennis,MA,02639,41.6657779,-70.1335747
Dunn and Sons,13 Willow Street,,Yarmouth Port,MA,02675,41.7026539,-70.256186
Cafe Beatrice,100 North First Street,,Cambridge,MA,02141,42.3719839,-71.0754661
Gepptto,100 North First Street,,Cambridge,MA,02141,42.3719839,-71.0754661
The Lexington,100 North First Street,Floor 2 ,Cambridge,MA,02141,42.3719839,-71.0754661
Buttonwood,51 Lincoln Street,,Newton Highlands,MA,02461,42.321622,-71.2078944
Jinny's Pizzeria,1231 Centre St,,Newton,MA,02459,42.3291799,-71.1953252
Sycamore,755 Beacon St.,,Newton,MA,02459,42.3306503,-71.1917304
Puro,264 Newbury St,,Boston,MA,02116,42.3492009,-71.0831139
Raffles Hotel Amar Restauant,40 Trinity Place,,Boston,MA,02116,42.3484279,-71.0750133
Ramsay's Kitchen,774 Boylston St,,Boston,MA,02115,42.3466745,-71.092774
Raw Silk Deliver to: La Bonne Maison,367 California St,,Newton,MA,02458,42.3653496,-71.2039313
Mothership @ Revival Cafe,125 Cambridgepark Drive,,Cambridge,MA,02474,42.3952357,-71.145768
Rick Hersom,25 Eastford Rd,,Auburn,MA,01501,42.2090559,-71.8399926
Ristorante Serena,831 Main St.,,Winchester,MA,01890,42.4602232,-71.1402781
Row 34,383 Congress Street,,Boston,MA,02210,42.3495874,-71.0474916
Row 34,300 District,,Ave Burlington,MA,01803,42.4844688,-71.2112695
Row 34,314 Main Street,,Cambridge,MA,02139,42.362118,-71.0866661
Royal Sonesta Boston Hotel,40 Edwin H Land Boulevard,,Cambridge,MA,02142,42.3672543,-71.0744153
Saigon Babylon,907 Main St.,,Cambridge,MA,02238,42.3637133,-71.0995542
Salem Country Club,133 Forest,,Street Peabody,MA,01960,42.5304201,-70.9694372
Sarma,249 Pearl Street,,Somerville,MA,02143,42.3881868,-71.0954753
"""SPROUTS"" Sated City LLC",366 Amory St,,Jamaica Plain,MA,02130,42.3089419,-71.108045
Savenor's Wholesale,92 Kirkland Street,,Cambridge,MA,02143,42.3778567,-71.1073862
Waypoint,1030 Massachusetts Ave,,Cambridge,MA,02318,42.369434,-71.1123053
Scratch Catering,56 Needham Street,,Norfolk,MA,02056,42.1117359,-71.3156056
Scutari Italian Restaurant,2055 Washington St.,,Hanover,MA,02339,42.1289257,-70.832192
Seaport Hotel,1 Seaport Lane,,Boston,MA,02210,42.3494924,-71.0412442
Season to Taste - Catering,2447 Massachusetts Avenue,,Cambridge,MA,02140,42.3983576,-71.1310251
Season to Taste,1678 Massachusetts Avenue,,Cambridge,MA,02138,42.3823949,-71.1199567
Select Oyster Bar,50 Gloucester St,,Boston,MA,02115,42.3486304,-71.0840477
Servia,126 State St,,Boston,MA,02109,42.3593403,-71.0546414
Settler,2 Lynde Street,,Salem,MA,01970,42.5224177,-70.8972974
Nate Gould SHELTER MV,23 Watcha Path Rd,,Edgartown,MA,"('', '', '')",41.382133,-70.598025
Shy Bird,12 Old Colony Avenue,,Boston,MA,02127,42.3376711,-71.0566058
Si Cara,425 Massachusetts Ave,Retail 4a,Cambridge,MA,02139,42.3636621,-71.100458
Saltie Girl,281 Dartmouth St.,,Boston,MA,02116,42.3511586,-71.0776455
Sip Wine Bar and Kitchen,581 Washington St.,,Boston,MA,02111,42.3533122,-71.0626995
